,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,Lable,URL
0,221.0,5.0,1.0,0.0,43.0,3.0,11.0,2.0,3.0,0.0,7.0,5.0,32.0,13.0,0.0,9.0,1.0,0.0,158.0,3.0,64.0,1.0,178.0,14.0,311.0,-1.0,1,https://kalicad.com/.../AbSa/ac8f800a620a7a77e3a235e0b017d58b/login.php?cmd=login_submit&id=615373ea7a455ec9eaf86326f56dd2ad615373ea7a455ec9eaf86326f56dd2ad&session=615373ea7a455ec9eaf86326f56dd2ad615373ea7a455ec9eaf86326f56dd2ad
1,90.0,4.0,0.0,1.0,1.0,0.0,35.0,4.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,12.0,1.0,0.0,42.0,1.0,32.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://susp.faceb00kcom-738504525.m7md1.sa/nextVRF.html?location=ba24fe5395fa476c9d90a468632cfa9b
2,78.0,3.0,0.0,1.0,1.0,0.0,26.0,3.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,9.0,1.0,0.0,42.0,1.0,32.0,0.0,113.0,7.0,134.0,-1.0,1,http://read-56599139.ottombil.com/gate.html?location=889de418945d185cbbe913d9a500f43a
3,477.0,27.0,1.0,0.0,419.0,20.0,44.0,3.0,20.0,0.0,29.0,14.0,120.0,19.9,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,-1.0,1,http://snnbclogin.poermskadxzasdl6td1retgaxvchg.xyz/pc/index.php?openid.pape.max_auth_age=0&amp;openid.return_to=https://www.smbc.co.jp/?ref_=nav_em_hd_re_signin&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;&amp;ref_=nav_em_hd_clc_signinhttps://www.smbc.co.jp
4,72.0,3.0,0.0,0.0,1.0,0.0,17.0,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,12.0,1.0,0.0,42.0,1.0,32.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://wildcard.m7md1.sa/nextVRF.html?location=cb6b4f2ec67f681499254a3bd63c805e
5,92.0,3.0,0.0,2.0,1.0,0.0,37.0,3.0,0.0,0.0,22.0,11.666666666666666,0.0,0.0,0.0,12.0,1.0,0.0,42.0,1.0,32.0,0.0,76.0,7.0,120.0,-1.0,1,http://content-fbook-23221994.roggiehouse.it/nextVRF.html?location=3ffb0d0aad56f8c7ccab1d4e1f64f2ff
6,72.0,3.0,0.0,0.0,1.0,0.0,17.0,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,12.0,1.0,0.0,42.0,1.0,32.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://wildcard.m7md1.sa/nextVRF.html?location=cb6b4f2ec67f681499254a3bd63c805e
7,309.0,3.0,0.0,0.0,188.0,3.0,23.0,2.0,3.0,0.0,19.0,11.0,177.0,61.333333333333336,0.0,98.0,1.0,9.0,0.0,0.0,0.0,0.0,188.0,4.0,1072.0,-1.0,1,https://graphicommunication.com/prime/uy/piled.php?dgabo={{email}};qfr=fzk-bwfxv_l7l_tuzdpb_dnxrrb_36-gdxy-8-gqya~gsazn&amp;xthAucji=ajo-eacru_a2d_ibmirf_qymzjf_07-ndxh-9-aqra~rneuy-pjvs-cu61ud~tp1lgwmf~da-gxok-vbrdltd/pisfyub~fcrfbs.jqct&amp;vbya=baf:ge:fbhb:adcdr_ddbve_y1d_rohmkd_mnafef_78;P1S7OsmsXUhbEGbDDdijFU==
8,58.0,2.0,0.0,0.0,10.0,2.0,23.0,2.0,2.0,0.0,19.0,11.0,5.0,3.5,0.0,9.0,1.0,0.0,16.0,1.0,9.0,0.0,188.0,4.0,1072.0,-1.0,1,https://graphicommunication.com/prime/uy/piled.php?deadz={{email}}
9,256.0,3.0,0.0,0.0,135.0,3.0,23.0,2.0,3.0,0.0,19.0,11.0,124.0,43.666666666666664,0.0,98.0,1.0,9.0,0.0,0.0,0.0,0.0,188.0,4.0,1072.0,-1.0,1,https://graphicommunication.com/prime/uy/piled.php?email={{email}}&amp;trkEmail=eml-email_m2m_invite_single_01-hero-3-prof~photo-null-bn76vb~jw0zkrpg~xg-null-neptune/profile~vanity.view&amp;lipi=urn:li:page:email_email_m2m_invite_single_01;Z7V3TizvSUubCWaAAolxPQ==
10,44.0,1.0,0.0,5.0,1.0,0.0,43.0,2.0,0.0,0.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,85016.0,1,http://free-10000-listings-due-today-3wedd44dw.xyz/
11,25.0,2.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,7.0,4.5,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://paipale.ml/connexion.html
12,19.0,2.0,0.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,8.0,4.666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,85016.0,1,https://www.amazoonl.xyz/pc
13,445.0,27.0,1.0,1.0,414.0,20.0,17.0,3.0,20.0,0.0,9.0,5.0,78.0,19.65,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,737717.0,-1.0,1,https://www.card-smbc.com/pc/index.php?key=a@b.c&amp;openid.assoc_handle=jpflex&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.mode=checkid_setup&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;openid.pape.max_auth_age=0&amp;openid.return_to=https://www.smbc.co.jp/?ref_=nav_em_hd_re_signin&amp;ref_=nav_em_hd_clc_signinhttps://www.smbc.co.jp
14,33.0,2.0,0.0,0.0,7.0,1.0,26.0,3.0,1.0,0.0,18.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,5.0,241.0,631.0,1,http://www.commercialericambi.net/1und1/
15,24.0,2.0,0.0,1.0,1.0,0.0,23.0,3.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,737717.0,-1.0,1,https://paypal-service.go04.xyz/
16,84.0,1.0,1.0,1.0,74.0,4.0,10.0,2.0,4.0,0.0,6.0,4.5,32.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,22.0,1803.0,1,https://lms-su.com/netflix/Netflix-account/Netflix-account/03b92cd507ff5870df0db7f074728830/
17,83.0,1.0,1.0,1.0,41.0,3.0,10.0,2.0,3.0,0.0,6.0,4.5,15.0,12.333333333333334,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,22.0,1803.0,1,https://lms-su.com/netflix/Netflix-account/Netflix-account/03b92cd507ff5870df0db7f074728830
18,81.0,2.0,0.0,1.0,57.0,4.0,23.0,3.0,4.0,0.0,14.0,7.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,737717.0,-1.0,1,https://paypal-service.go04.xyz/hW5jbIgqyH43zl/4DiG7yKNArWko/I1hNXge9s5VBz0Ab/wLJpbdzOI/1
19,38.0,4.0,0.0,0.0,1.0,0.0,28.0,4.0,0.0,0.0,12.0,6.25,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,20.0,-1.0,1,https://mail.wagruphotnew.bokepz.top/index.php
20,48.0,4.0,0.0,0.0,1.0,0.0,38.0,4.0,0.0,0.0,17.0,8.75,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,128.0,85260.0,1,https://mail.grubwhatsaapviral.royalpass13.com/index.php
